Date,Open,High,Low,Close,Adj Close,Volume
1999/2/17,123.1875,125.359299,122.25,122.75,87.124092,7858100
1999/2/18,123.1875,124.375,122.218697,123.718697,87.811638,9048900
1999/2/19,124,125.75,123.375,124.25,88.188766,5312200
1999/2/22,124.4375,127.718697,124.281197,127.5625,90.539864,10695800
1999/2/23,127.593697,128.5,126.593697,127.5,90.495491,7770700
1999/2/24,127.843697,128.843704,125,125.25,88.898521,7271000
1999/2/25,124.531197,125.281197,122.6875,124.0625,88.055672,11633000
1999/2/26,124.75,124.843697,122.8125,123.5625,87.700798,9621300
1999/3/1,123.656197,124.3125,122.375,123.906197,87.944733,7607200
1999/3/2,124.5,125.3125,122.3125,122.8125,87.168442,9651500
1999/3/3,123.093697,123.5625,121.781197,123.468697,87.634193,7881400
1999/3/4,124.0625,125.484299,123.265602,125.031197,88.743217,8256400
1999/3/5,127.5,128.125,126.5625,127.546799,90.52874,10703100
1999/3/8,128.281204,128.796799,127.25,128.375,91.116554,4802200
1999/3/9,128.125,129.9375,127.75,128.0625,90.894775,7893400
1999/3/10,128.468704,129.25,127.781197,129.1875,91.693207,3950000
1999/3/11,129.6875,131.1875,128.875,130.625,92.713547,6583700
1999/3/12,131,131.031204,129.218704,129.375,91.826309,5286500
1999/3/15,129.9375,131.25,129.5,131.218704,93.134895,5394400
1999/3/16,131.125,131.656204,130.468704,130.718704,92.780029,4547500
1999/3/17,130.6875,130.9375,129.625,130.156204,92.380814,4524100
1999/3/18,129.781204,132.375,129.75,132.25,93.86692,3506300
1999/3/19,132.3125,132.625,129.6875,129.6875,92.271385,5526700
1999/3/22,130.0625,130.593704,129.421799,129.9375,92.449219,4603800
1999/3/23,129.3125,129.531204,125.703102,126.1875,89.781158,9713800
1999/3/24,126.843697,127.171799,125.625,126.906197,90.292519,6280900
1999/3/25,128.0625,129.5,127.75,129.5,92.137985,6639600
1999/3/26,128.625,129.125,127.718697,128.5625,91.470978,6159700
1999/3/29,129.156204,131.4375,129.156204,131.156204,93.316368,5863900
1999/3/30,129.9375,131.218704,129.5625,130.468704,92.827209,5401400
1999/3/31,131.156204,131.609299,128.3125,128.375,91.33754,7413600
1999/4/1,129.6875,129.6875,128.125,129.343704,92.026787,7683600
1999/4/5,130.9375,132.593704,130.25,132.406204,94.205673,5791100
1999/4/6,132.1875,132.984299,131.156204,132.093704,93.983391,5381300
1999/4/7,132.6875,133.375,131.375,133.156204,94.739326,6248600
1999/4/8,133.1875,134.9375,132.281204,134.843704,95.939987,5909100
1999/4/9,134.4375,135.5,133.593704,134.875,95.962219,4365800
1999/4/12,133.468704,136.406204,133.218704,136.3125,96.985031,8213200
1999/4/13,136.25,136.468704,134.5,135.4375,96.36245,10071400
1999/4/14,136.0625,136.0625,132.6875,133.156204,94.739326,11551700
1999/4/15,133.4375,133.5625,131,132.656204,94.383575,11150000
1999/4/16,132.906204,132.906204,131.1875,131.531204,93.583168,6476200
1999/4/19,132.6875,134.531204,128.375,129.5,92.137985,12487200
1999/4/20,129.8125,131.1875,129,131.125,93.294136,9049600
1999/4/21,131.0625,135.625,130.406204,134.875,95.962219,5772200
1999/4/22,135.125,136.375,134.390594,136.156204,96.873779,6897400
1999/4/23,135.875,136.75,135,135.8125,96.629234,4593100
1999/4/26,136.5,136.8125,135.468704,136.593704,97.185066,3606500
1999/4/27,137.125,137.5,135.843704,137.25,97.652039,5147200
1999/4/28,136.4375,137.25,135,135.375,96.317993,5544300
1999/4/29,135.5625,136.0625,133.8125,134.343704,95.584251,9824300
1999/4/30,135.093704,135.625,131.5,133.25,94.806061,10991900
1999/5/3,133.4375,135.843704,133.093704,135.6875,96.540337,10709700
1999/5/4,135.125,135.8125,133.125,133.75,95.161819,10509300
1999/5/5,133.9375,135.0625,131.843704,134.8125,95.917763,10032300
1999/5/6,134.4375,135.125,132.375,133.984299,95.328514,13507200
1999/5/7,134.5,135.125,133.4375,135,96.051186,8680700
1999/5/10,134.843704,135.718704,133.531204,134.328094,95.573135,5580100
1999/5/11,135.3125,136.875,134.718704,135.6875,96.540337,7000600
1999/5/12,135.75,137.218704,131.5,136.75,97.29631,13865800
1999/5/13,137.25,138,136.8125,137.343704,97.718697,4485700
1999/5/14,134.5625,135.875,133.5,133.781204,95.184052,8370100
1999/5/17,133.625,134.484299,132.375,134.1875,95.473099,6268100
1999/5/18,134.531204,134.984299,132.625,133.9375,95.295227,8218600
1999/5/19,134.468704,135,133.25,134.906204,95.984436,5052400
1999/5/20,135.125,135.593704,134.0625,134.093704,95.406349,4670400
1999/5/21,134.125,134.6875,132.593704,133.343704,94.872711,6418200
1999/5/24,133.843704,133.843704,130.390594,131.125,93.294136,7952000
1999/5/25,131.375,132.343704,128.4375,129,91.782234,15406400
1999/5/26,129.3125,131,128.093704,130.4375,92.805008,12575900
1999/5/27,129.843704,130.281204,128,128.5625,91.470978,14515400
1999/5/28,129,130.75,128.593704,130.203094,92.638214,8748000
1999/6/1,130.125,130.156204,128.375,129.75,92.315865,6705300
1999/6/2,129.75,130.1875,128.015594,129.875,92.40477,6981900
1999/6/3,130.6875,130.875,129.781204,130.593704,92.916153,6076600
1999/6/4,131.468704,133.359299,130.9375,133.218704,94.783768,9787200
1999/6/7,133.4375,134.1875,132.906204,133.5625,95.028397,5299100
1999/6/8,133.375,133.796799,131.593704,132.25,94.094582,4895700
1999/6/9,132.406204,133.093704,131.8125,132.125,94.00563,7409700
1999/6/10,131.4375,131.468704,129.593704,130.906204,93.138466,7040700
1999/6/11,131.218704,132.218704,129.093704,129.8125,92.360306,12824800
1999/6/14,130.6875,130.75,129.546799,129.9375,92.449219,6823500
1999/6/15,130.468704,131.656204,130.078094,130.8125,93.071823,5700900
1999/6/16,132.375,133.875,132.375,133.3125,94.850525,7865800
1999/6/17,132.875,135.5625,132.625,134.5625,95.739914,8162800
1999/6/18,134.0625,134.6875,133.375,134.3125,95.850494,2875100
1999/6/21,134.468704,135.25,133.656204,134.625,96.073532,4646400
1999/6/22,134,135.1875,133.5,133.6875,95.404488,5862400
1999/6/23,133,133.625,132.125,133.031204,94.93615,9629200
1999/6/24,132.875,132.9375,130.656204,132.031204,94.222511,9176900
1999/6/25,132.593704,133.015594,131.25,131.703094,93.98835,4087000
1999/6/28,132.6875,133.625,132.5,133.3125,95.136879,5028900
1999/6/29,133,135.1875,132.781204,134.5625,96.028908,6956200
1999/6/30,134.625,137.5,133.843704,137,97.768387,16856100
1999/7/1,137,138.5,136.0625,138.031204,98.504349,9939500
1999/7/2,138.125,139.5,137.906204,139.406204,99.485573,3772800
1999/7/6,139.25,140.75,138.593704,139.375,99.463257,11221100
1999/7/7,139.0625,139.718704,138.515594,139.5625,99.597115,3230700
1999/7/8,139.0625,140.625,138.75,139.671799,99.675125,7101500
1999/7/9,140,140.593704,139.5625,140.5,100.266136,2976800
1999/7/12,140.9375,140.9375,139.5,139.875,99.820122,4436300
1999/7/13,139.375,139.921799,138.656204,139.375,99.463257,6477600
1999/7/14,140,140.218704,138.75,140.156204,100.020821,4382500
1999/7/15,140.781204,141.375,140.3125,141.046799,100.656387,3348600
1999/7/16,141.25,142.156204,140.75,141.8125,101.202789,2281500
1999/7/19,142.1875,142.25,140.5625,140.875,100.533745,4287000
1999/7/20,140.125,140.406204,137.531204,137.984299,98.470856,7060100
1999/7/21,138.093704,138.906204,137.3125,137.828094,98.359375,4793700
1999/7/22,137.4375,138,135.468704,136.015594,97.065895,7804100
1999/7/23,136.656204,137,135.125,135.75,96.87635,4603000
1999/7/26,134.875,136.125,134.625,134.75,96.162743,4333400
1999/7/27,136,137.203094,135.375,135.875,96.965591,5908500
1999/7/28,136.25,137.3125,135.593704,136.3125,97.277809,3955500
1999/7/29,134.9375,135.25,133.3125,134.406204,95.917412,7760600
1999/7/30,134.8125,135.343704,132.5625,132.75,94.735466,5994300
1999/8/2,132.75,134.75,132.5,133.0625,94.958473,6065500
1999/8/3,133.718704,133.843704,131.375,132.4375,94.512436,5445400
1999/8/4,132.718704,133.875,130.4375,130.625,93.218979,6497900
1999/8/5,130.875,131.9375,128.843704,131.8125,94.06646,10322000
1999/8/6,131.218704,132,129.5,130.375,93.04055,7537700
1999/8/9,130.593704,131.796799,129.75,130.093704,92.839836,5565900
1999/8/10,129.875,130.156204,127,128.656204,91.813972,9793300
1999/8/11,129.6875,130.531204,128.625,130.218704,92.929008,8003400
1999/8/12,130.6875,131.8125,129.906204,130.140594,92.873276,7036800
1999/8/13,131.625,133.25,131.125,133.156204,95.02536,5857700
1999/8/16,133.125,133.968704,132.25,133.75,95.449112,3927000
1999/8/17,134.4375,134.843704,133.125,134.625,96.073532,4808000
1999/8/18,134.203094,134.375,133.25,133.656204,95.382156,4355500
1999/8/19,132.375,133.234299,131.6875,132.5625,94.601662,6448100
1999/8/20,133.0625,134.125,132.6875,133.906204,95.560562,3663700
1999/8/23,134.8125,136.546799,134.656204,136.468704,97.389259,5637800
1999/8/24,136.0625,137.968704,135.375,136.968704,97.746086,9279500
1999/8/25,137.1875,138.781204,136.156204,138.375,98.749664,6005300
1999/8/26,138.281204,138.421799,136.5,136.718704,97.567665,4322300
1999/8/27,136.875,137.0625,135.0625,135.0625,96.385712,6247400
1999/8/30,135.343704,135.5,132,132.5625,94.601662,4652000
1999/8/31,132.9375,133.75,130.875,132.0625,94.244827,11453700
1999/9/1,132.9375,133.734299,132.3125,133.6875,95.404488,6863900
1999/9/2,132.125,132.671799,130.656204,132.109299,94.278206,10896300
1999/9/3,134.875,136.5,134.6875,135.968704,97.032471,9160800
1999/9/7,136.0625,136.625,135.218704,135.468704,96.675613,4560800
1999/9/8,134.843704,136.0625,134.031204,134.8125,96.207336,6159600
1999/9/9,134.75,135.25,133.6875,134.75,96.162743,6177800
1999/9/10,136.25,136.359299,134.9375,135.875,96.965591,2934500
1999/9/13,135.125,135.468704,134.5,134.953094,96.307663,2320500
1999/9/14,134.0625,134.5625,133.375,134.0625,95.672096,3736000
1999/9/15,135.4375,135.4375,131.875,131.9375,94.155609,6984500
1999/9/16,132.5,132.8125,130.3125,132.453094,94.523567,15377600
1999/9/17,132.625,133.9375,132.156204,133.75,95.717896,8542300
1999/9/20,133.9375,134,133.093704,133.5625,95.583725,2803900
1999/9/21,132.25,132.468704,130.156204,130.75,93.570992,9335200
1999/9/22,131.25,131.843704,129.75,130.609299,93.470268,13009100
1999/9/23,131.8125,131.8125,127.625,127.875,91.513466,12204100
1999/9/24,127.75,128.375,126.3125,127.75,91.424034,13792900
1999/9/27,128.75,129.75,128.281204,128.593704,92.027817,6970300
1999/9/28,127.9375,128.8125,125.5625,128.343704,91.848953,11063400
1999/9/29,128.4375,129.125,126.75,126.8125,90.753098,7580300
1999/9/30,127.4375,129.4375,126.968697,128.75,92.139687,7498900
1999/10/1,127.9375,128.5625,126.625,128.468704,91.938362,11127100
1999/10/4,129.1875,130.875,128.75,130.75,93.570992,6341600
1999/10/5,130.718704,131.968704,128.6875,130.625,93.481506,11976000
1999/10/6,130.75,132.8125,130.6875,132.625,94.912819,10308200
1999/10/7,132.859299,133,131.5,131.875,94.37606,6535600
